Table,Column,Position,Oracle_Data_Type,SQL_Server_Data_Type,GridName,GridID
R5PICKLISTPARTS,PIP_PART_ORG,3,VARCHAR2(15),nvarchar(15),,
R5PICKLISTS,PIC_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PIPINGCLASS,PCS_CODE,1,VARCHAR2(20),nvarchar(20),,
R5PIPINGCLASS,PCS_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5PMFORECASTEQUIPLIST,PFL_SESSIONID,1,"NUMBER(18,0)","numeric(18,0)",,
R5PMFORECASTEQUIPLIST,PFL_OBJECT,2,VARCHAR2(30),nvarchar(30),,
R5PMFORECASTEQUIPLIST,PFL_OBJECT_ORG,3,VARCHAR2(15),nvarchar(15),,
R5PMFORECASTPARAMS,PFP_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PMFORECASTPREVIEW,PFV_SESSIONID,1,"NUMBER(18,0)","numeric(18,0)",,
R5PMFORECASTPREVIEW,PFV_OBJECT,2,VARCHAR2(30),nvarchar(30),,
R5PMFORECASTPREVIEW,PFV_OBJECT_ORG,3,VARCHAR2(15),nvarchar(15),,
R5PMFORECASTWARNING,PFW_PPSPK,1,"NUMBER(12,0)","numeric(12,0)",,
R5PMFORECASTWARNING,PFW_WARNTYPE,2,VARCHAR2(1),nvarchar(1),,
R5PMPLANSESSION,PPS_PK,1,"NUMBER(12,0)","numeric(12,0)",,
R5PMPSESSIONDATES,PPD_LINE,1,"NUMBER(12,0)","numeric(12,0)",,
R5PMPSESSIONDATES,PPD_PPSPK,2,"NUMBER(12,0)","numeric(12,0)",,
R5PMPSESSIONDATES,PPD_DUEDATE,3,DATE,datetime,,
R5PMPSESSIONLINES,PPL_LINE,1,"NUMBER(12,0)","numeric(12,0)",,
R5PMRESOURCES,PMR_PPM,1,VARCHAR2(20),nvarchar(20),,
R5PMRESOURCES,PMR_PPMREVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5PMRESOURCES,PMR_OBJECT,3,VARCHAR2(30),nvarchar(30),,
R5PMRESOURCES,PMR_OBJECT_ORG,4,VARCHAR2(15),nvarchar(15),,
R5PMRESOURCES,PMR_RESOURCE,5,VARCHAR2(80),nvarchar(80),,
R5POINTS,POI_OBJECT,1,VARCHAR2(30),nvarchar(30),,
R5POINTS,POI_OBJECT_ORG,2,VARCHAR2(15),nvarchar(15),,
R5POINTS,POI_OBTYPE,3,VARCHAR2(4),nvarchar(4),,
R5POINTS,POI_POINT,4,VARCHAR2(30),nvarchar(30),,
R5POINTS,POI_POINTTYPE,5,VARCHAR2(30),nvarchar(30),,
R5POINTTYPES,PTP_CODE,1,VARCHAR2(30),nvarchar(30),,
R5POLICIES,POL_CODE,1,VARCHAR2(30),nvarchar(30),,
R5POLICIES,POL_ORG,2,VARCHAR2(15),nvarchar(15),,
R5PPMACTDETAILS,PAD_CODE,1,VARCHAR2(45),nvarchar(45),,
R5PPMACTDETAILS,PAD_RTYPE,2,VARCHAR2(4),nvarchar(4),,
R5PPMACTS,PPA_PPM,1,VARCHAR2(20),nvarchar(20),,
R5PPMACTS,PPA_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5PPMACTS,PPA_ACT,3,"NUMBER(8,0)","numeric(8,0)",,
R5PPMCALENDARS,PPC_PPM,1,VARCHAR2(20),nvarchar(20),,
R5PPMCALENDARS,PPC_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5PPMCALENDARS,PPC_OBJECT,3,VARCHAR2(30),nvarchar(30),,
R5PPMCALENDARS,PPC_OBJECT_ORG,4,VARCHAR2(15),nvarchar(15),,
R5PPMCALENDARS,PPC_DATE,5,DATE,datetime,,
R5PPMOBJECTS,PPO_PK,1,NUMBER,int,,
R5PPMOBJECTS,PPO_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5PPMPLAN,PMP_CODE,1,VARCHAR2(6),nvarchar(6),,
R5PPMS,PPM_CODE,1,VARCHAR2(20),nvarchar(20),,
R5PPMS,PPM_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5PPMTOOLS,PPT_PPM,1,VARCHAR2(20),nvarchar(20),,
R5PPMTOOLS,PPT_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5PPMTOOLS,PPT_ACT,3,"NUMBER(8,0)","numeric(8,0)",,
R5PPMTOOLS,PPT_TOOL,4,VARCHAR2(12),nvarchar(12),,
R5PRECAUTIONS,PCA_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PRECAUTIONS,PCA_ORG,2,VARCHAR2(15),nvarchar(15),,
R5PRECAUTIONS,PCA_REVISION,3,"NUMBER(4,0)","numeric(4,0)",,
R5PREFERENCES,PRF_CODE,1,VARCHAR2(12),nvarchar(12),,
R5PREFILTERLOOKUP,PFE_PAGENAME,1,VARCHAR2(40),nvarchar(40),,
R5PREFILTERLOOKUP,PFE_ELEMENTID,2,VARCHAR2(80),nvarchar(80),,
R5PRICECODES,PRI_CODE,1,VARCHAR2(4),nvarchar(4),,
R5PRICING,PRC_TRANSTYPE,1,VARCHAR2(8),nvarchar(8),,
R5PRICING,PRC_TRANSTYPE_ORG,2,VARCHAR2(15),nvarchar(15),,
R5PRICING,PRC_ORIG,3,VARCHAR2(4),nvarchar(4),,
R5PRICING,PRC_DEST,4,VARCHAR2(4),nvarchar(4),,
R5PRINTERS,PRN_CODE,1,NUMBER,int,,
R5PRINTERTYPES,PNT_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PRINTERUSERS,PNU_CODE,1,NUMBER,int,,
R5PRINTERUSERS,PNU_USER,2,VARCHAR2(255),nvarchar(255),,
R5PRINTLABELS,PNL_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PROCESSLOCK,PLK_CODE,1,VARCHAR2(128),nvarchar(128),,
R5PRODREQRESOURCES,PRR_PK,1,NUMBER,int,,
R5PRODUCTIONPRIORITY,PDP_CODE,1,VARCHAR2(256),nvarchar(256),,
R5PRODUCTIONREQUESTS,PRQ_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PRODUCTIONREQUESTS,PRQ_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5PRODUCTIONREQUESTS,PRQ_ORG,3,VARCHAR2(15),nvarchar(15),,
R5PRODUCTVERSION,PVS_PRODUCTCODE,1,VARCHAR2(10),nvarchar(10),,
R5PRODUCTVERSIONHISTORY,PVH_PRODUCTCODE,1,VARCHAR2(10),nvarchar(10),,
R5PRODUCTVERSIONHISTORY,PVH_CHANGED,2,DATE,datetime,,
R5PROJAUTHUSER,PAU_PROJECT,1,VARCHAR2(20),nvarchar(20),,
R5PROJAUTHUSER,PAU_USER,2,VARCHAR2(255),nvarchar(255),,
