Table,Column,Position,Oracle_Data_Type,SQL_Server_Data_Type,GridName,GridID
R5RELIABILITYPF,RPL_OBJECT,1,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYPF,RPL_OBJECT_ORG,2,VARCHAR2(15),nvarchar(15),,
R5RELIABILITYPF,RPL_PART,3,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYPF,RPL_PART_ORG,4,VARCHAR2(15),nvarchar(15),,
R5RELIABILITYPF,RPL_PARTLOCATION,5,VARCHAR2(80),nvarchar(80),,
R5RELIABILITYPF,RPL_TYPE,6,VARCHAR2(4),nvarchar(4),,
R5RELIABILITYPF,RPL_FAILURECODE,7,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYRANKINGANSWER,RRW_PK,1,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYRANKINGLEVELS,RRL_PK,1,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYRANKINGNORMS,RRN_PK,1,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYRANKINGQUESTS,RRQ_LEVELPK,1,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYRANKINGQUESTS,RRQ_LANG,2,VARCHAR2(2),nvarchar(2),,
R5RELIABILITYRANKINGRANKS,RRR_PK,1,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYRANKINGS,RRK_CODE,1,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYRANKINGS,RRK_ORG,2,VARCHAR2(15),nvarchar(15),,
R5RELIABILITYRANKINGS,RRK_REVISION,3,"NUMBER(4,0)","numeric(4,0)",,
R5RELIABILITYRANKINGVALOBJ,RVO_RRVPK,1,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYRANKINGVALOBJ,RVO_OBJECT,2,VARCHAR2(30),nvarchar(30),,
R5RELIABILITYRANKINGVALOBJ,RVO_OBJECT_ORG,3,VARCHAR2(15),nvarchar(15),,
R5RELIABILITYRANKINGVALUES,RRV_PK,1,VARCHAR2(30),nvarchar(30),,
R5REMEMBER,RMB_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5REMEMBER,RMB_RENTITY,2,VARCHAR2(4),nvarchar(4),,
R5REMEMBER,RMB_ITEM,3,VARCHAR2(61),nvarchar(61),,
R5REPAIRBINS,RPB_PK,1,NUMBER,int,,
R5REPBACPARMS,RBP_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5REPBACPARMS,RBP_LINE,2,"NUMBER(8,0)","numeric(8,0)",,
R5REPOPTIONS,ROP_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5REPOPTIONS,ROP_PARAMETER,2,VARCHAR2(20),nvarchar(20),,
R5REPOPTIONS,ROP_SEQNO,3,"NUMBER(2,0)","numeric(2,0)",,
R5REPORTFIELDS,RFL_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5REPORTFIELDS,RFL_LINE,2,"NUMBER(3,0)","numeric(3,0)",,
R5REPORTFILTERS,RFI_USER,1,VARCHAR2(255),nvarchar(255),,
R5REPORTFILTERS,RFI_FUNC,2,VARCHAR2(6),nvarchar(6),,
R5REPORTFILTERS,RFI_NAME,3,VARCHAR2(8),nvarchar(8),,
R5REPORTFUNCTIONS,RFN_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5REPORTGROUPBY,RGP_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5REPORTGROUPBY,RGP_LINE,2,"NUMBER(3,0)","numeric(3,0)",,
R5REPORTSUBTOTAL,RST_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5REPORTSUBTOTAL,RST_GROUPLINE,2,"NUMBER(3,0)","numeric(3,0)",,
R5REPORTSUBTOTAL,RST_LINE,3,"NUMBER(3,0)","numeric(3,0)",,
R5REPORTTABPARAMMAP,RPM_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5REPORTTABPARAMMAP,RPM_TAB,2,VARCHAR2(6),nvarchar(6),,
R5REPORTTABPARAMMAP,RPM_KEYFIELD,3,VARCHAR2(30),nvarchar(30),,
R5REPPARMS,PMT_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5REPPARMS,PMT_PARAMETER,2,VARCHAR2(20),nvarchar(20),,
R5REQCLASSES,RCL_CLASS,1,VARCHAR2(8),nvarchar(8),,
R5REQCLASSES,RCL_REQM,2,VARCHAR2(8),nvarchar(8),,
R5REQCLASSES,RCL_CLASS_ORG,3,VARCHAR2(15),nvarchar(15),,
R5REQUIRCODES,RQM_CODE,1,VARCHAR2(8),nvarchar(8),,
R5REQUISINTERFACE,RUI_TRANSID,1,NUMBER,bigint,,
R5REQUISITIONS,REQ_CODE,1,VARCHAR2(30),nvarchar(30),,
R5REQUISLINES,RQL_REQ,1,VARCHAR2(30),nvarchar(30),,
R5REQUISLINES,RQL_REQLINE,2,"NUMBER(8,0)","numeric(8,0)",,
R5RESERVATIONS,RES_EVENT,1,VARCHAR2(30),nvarchar(30),,
R5RESERVATIONS,RES_ACT,2,"NUMBER(8,0)","numeric(8,0)",,
R5RESERVATIONS,RES_PART,3,VARCHAR2(30),nvarchar(30),,
R5RESERVATIONS,RES_PART_ORG,4,VARCHAR2(15),nvarchar(15),,
R5RESERVATIONS,RES_STORE,5,VARCHAR2(15),nvarchar(15),,
R5RESOURCES,RSS_CODE,1,VARCHAR2(80),nvarchar(80),,
R5REVCNTRLSETUP,RCS_PAGENAME,1,VARCHAR2(40),nvarchar(40),,
R5REVCNTRLSETUP,RCS_ELEMENTID,2,VARCHAR2(40),nvarchar(40),,
R5RFQCLAUSES,RFC_CODE,1,VARCHAR2(30),nvarchar(30),,
R5RFQCLAUSES,RFC_ORG,2,VARCHAR2(15),nvarchar(15),,
R5RFQCLAUSES,RFC_CLAUSE,3,VARCHAR2(8),nvarchar(8),,
R5RFQLINERESPONSEMAPPING,RRM_QUOTID,1,VARCHAR2(30),nvarchar(30),,
R5RFQLINERESPONSEMAPPING,RRM_QUOTLINE,2,"NUMBER(8,0)","numeric(8,0)",,
R5RFQLINERESPONSEMAPPING,RRM_RFQ,3,VARCHAR2(30),nvarchar(30),,
R5RFQLINERESPONSEMAPPING,RRM_RFQ_ORG,4,VARCHAR2(15),nvarchar(15),,
R5RFQLINERESPONSEMAPPING,RRM_RFQLINE,5,"NUMBER(8,0)","numeric(8,0)",,
R5RFQLINERESPONSES,RLR_QUOTID,1,VARCHAR2(30),nvarchar(30),,
R5RFQLINERESPONSES,RLR_QUOTLINE,2,"NUMBER(8,0)","numeric(8,0)",,
R5RFQLINES,RLI_RFQ,1,VARCHAR2(30),nvarchar(30),,
R5RFQLINES,RLI_ORG,2,VARCHAR2(15),nvarchar(15),,
R5RFQLINES,RLI_RFQLINE,3,"NUMBER(8,0)","numeric(8,0)",,
R5RFQRESPONSES,RFR_QUOTID,1,VARCHAR2(30),nvarchar(30),,
R5RFQSUPPLIERS,RFS_CODE,1,VARCHAR2(30),nvarchar(30),,
R5RFQSUPPLIERS,RFS_ORG,2,VARCHAR2(15),nvarchar(15),,
R5RFQSUPPLIERS,RFS_SUPPLIER,3,VARCHAR2(30),nvarchar(30),,
R5RFQSUPPLIERS,RFS_SUPPLIER_ORG,4,VARCHAR2(15),nvarchar(15),,
R5RFQUOTATIONS,RFQ_CODE,1,VARCHAR2(30),nvarchar(30),,
R5RFQUOTATIONS,RFQ_ORG,2,VARCHAR2(15),nvarchar(15),,
R5RISK,RIS_PK,1,NUMBER,int,,
R5RISKMATRIXCONSEQCOST,RCC_RMSCODE,1,VARCHAR2(30),nvarchar(30),,
R5RISKMATRIXCONSEQCOST,RCC_ORG,2,VARCHAR2(15),nvarchar(15),,
R5RISKMATRIXCONSEQCOST,RCC_CONSEQUENCE,3,VARCHAR2(30),nvarchar(30),,
R5RISKMATRIXCONSEQUENCES,RMC_CODE,1,VARCHAR2(30),nvarchar(30),,
R5RISKMATRIXCONSEQUENCES,RMC_RMSCODE,2,VARCHAR2(30),nvarchar(30),,
R5RISKMATRIXSETUP,RMS_CODE,1,VARCHAR2(30),nvarchar(30),,
R5RISKNORM,RNO_PK,1,NUMBER,int,,
R5RISKNORM,RNO_NORM,2,NUMBER,"numeric(24,6)",,
R5RMA,RMA_CODE,1,VARCHAR2(24),nvarchar(24),,
R5RMA,RMA_ACCOUNT,2,VARCHAR2(24),nvarchar(24),,
R5RMA,RMA_ORG,3,VARCHAR2(15),nvarchar(15),,
R5RMATRANS,RMT_RMA,1,VARCHAR2(24),nvarchar(24),,
R5RMATRANS,RMT_ACCOUNT,2,VARCHAR2(24),nvarchar(24),,
R5RMATRANS,RMT_ORG,3,VARCHAR2(15),nvarchar(15),,
R5RMATRANS,RMT_TRANS,4,VARCHAR2(30),nvarchar(30),,
R5RMATRANS,RMT_LINE,5,"NUMBER(8,0)","numeric(8,0)",,
R5ROLES,ROL_CODE,1,VARCHAR2(30),nvarchar(30),,
R5ROOTITEMS,ROT_REQM,1,VARCHAR2(8),nvarchar(8),,
R5ROOTITEMS,ROT_SUGGEST,2,VARCHAR2(8),nvarchar(8),,
R5ROUTEPOINTS,ROP_ROUTE,1,VARCHAR2(20),nvarchar(20),,
R5ROUTEPOINTS,ROP_LINE,2,"NUMBER(8,0)","numeric(8,0)",,
R5ROUTES,ROU_CODE,1,VARCHAR2(20),nvarchar(20),,
R5ROUTES,ROU_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5ROUTOBJECTS,ROB_ROUTE,1,VARCHAR2(20),nvarchar(20),,
R5ROUTOBJECTS,ROB_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5ROUTOBJECTS,ROB_LINE,3,"NUMBER(8,0)","numeric(8,0)",,
R5RPTSERVERREQUEST,RSR_REQUESTID,1,VARCHAR2(60),nvarchar(60),,
R5SAFETYMATRIX,SFM_PK,1,VARCHAR2(30),nvarchar(30),,
R5SAFETYMATRIX,SFM_ORG,2,VARCHAR2(15),nvarchar(15),,
R5SCENARIOINVESTMENTPLANS,SIP_SCENARIO,1,VARCHAR2(30),nvarchar(30),,
R5SCENARIOINVESTMENTPLANS,SIP_INVESTMENTPLANNING,2,VARCHAR2(30),nvarchar(30),,
R5SCENARIOINVESTMENTPLANS,SIP_INVESTMENTPLANNING_ORG,3,VARCHAR2(15),nvarchar(15),,
R5SCENARIOINVESTMENTPLANS,SIP_INVESTMENTPLANNINGREV,4,"NUMBER(4,0)","numeric(4,0)",,
R5SCENARIOS,SEN_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SCHEDGROUPS,SCG_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SCHEDULEDJOBS,SCJ_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SCHEDULEDJOBSLOCK,SJL_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SCHEDULES,SCH_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SCREENCACHE,SNC_USER,1,VARCHAR2(255),nvarchar(255),,
R5SCREENCACHE,SNC_FUNCTION,2,VARCHAR2(6),nvarchar(6),,
R5SCREENFAVORITES,SFV_USER,1,VARCHAR2(255),nvarchar(255),,
R5SCREENFAVORITES,SFV_FUNCTION,2,VARCHAR2(6),nvarchar(6),,
R5SCREENFLOWGROUPS,SFG_SEQUENCE,1,"NUMBER(6,0)","numeric(6,0)",,
R5SCREENFLOWGROUPS,SFG_USERGROUP,2,VARCHAR2(12),nvarchar(12),,
R5SCREENFLOWS,SFL_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SCWORKORDERCOST,CWS_ORG,1,VARCHAR2(15),nvarchar(15),,
R5SCWORKORDERCOST,CWS_JOBTYPE,2,VARCHAR2(8),nvarchar(8),,
R5SCWORKORDERCOST,CWS_DATE,3,DATE,datetime,,
R5SCWORKORDERSREPORTED,CWR_ORG,1,VARCHAR2(15),nvarchar(15),,
R5SCWORKORDERSREPORTED,CWR_MRC,2,VARCHAR2(15),nvarchar(15),,
R5SCWORKORDERSREPORTED,CWR_DATE,3,DATE,datetime,,
R5SDXINTEGRATIONCONFIG,SDX_PK,1,"NUMBER(3,0)","numeric(3,0)",,
R5SENSORS,SNR_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SENSORS,SNR_ORG,2,VARCHAR2(15),nvarchar(15),,
R5SEQINSTALLMAPPING,SIM_SEQUENCE,1,VARCHAR2(30),nvarchar(30),,
R5SERVICECATALOGUE,SCA_TASK,1,VARCHAR2(20),nvarchar(20),,
R5SERVICECATALOGUE,SCA_SUPPLIER,2,VARCHAR2(30),nvarchar(30),,
R5SERVICECATALOGUE,SCA_SUPPLIER_ORG,3,VARCHAR2(15),nvarchar(15),,
R5SERVICECATSERVICECODES,SCS_CATEGORY_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SERVICECATSERVICECODES,SCS_CATEGORY_ORG,2,VARCHAR2(15),nvarchar(15),,
R5SERVICECATSERVICECODES,SCS_SERVICECODE,3,VARCHAR2(30),nvarchar(30),,
R5SERVICECATSERVICECODES,SCS_SERVICECODE_ORG,4,VARCHAR2(15),nvarchar(15),,
R5SERVICECODEEQUIPCLASSES,ECL_PK,1,VARCHAR2(30),nvarchar(30),,
R5SERVICECODES,SRV_PK,1,VARCHAR2(30),nvarchar(30),,
R5SERVICELOGS,LOG_ENTITY,1,VARCHAR2(4),nvarchar(4),,
R5SERVICELOGS,LOG_RENTITY,2,VARCHAR2(4),nvarchar(4),,
R5SERVICELOGS,LOG_ENTITYCODE,3,VARCHAR2(80),nvarchar(80),,
R5SERVICELOGS,LOG_ENTITYORG,4,VARCHAR2(15),nvarchar(15),,
R5SERVICELOGS,LOG_SEQUENCE,5,NUMBER,int,,
R5SERVICEPROBLEMCODES,SPB_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SERVICEPROBLEMCODES,SPB_ORG,2,VARCHAR2(15),nvarchar(15),,
R5SERVICEREQUESTS,SRQ_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SESSIONS,SES_SESSIONID,1,"NUMBER(10,0)","numeric(10,0)",,
R5SESSIONSTRUCTURES,SSS_SESSION,1,NUMBER,"numeric(18,0)",,
R5SESSIONSTRUCTURES,SSS_PARENT_ORG,3,VARCHAR2(15),nvarchar(15),,
R5SESSIONSTRUCTURES,SSS_PARENTTYPE,4,VARCHAR2(1),nvarchar(1),,
R5SESSIONSTRUCTURES,SSS_CHILD,5,VARCHAR2(200),nvarchar(200),,
R5SESSIONSTRUCTURES,SSS_CHILD_ORG,6,VARCHAR2(15),nvarchar(15),,
R5SESSIONSTRUCTURES,SSS_CHILDTYPE,7,VARCHAR2(1),nvarchar(1),,
R5SETCONSISTEQUIPMENT,SCE_SETCONSISTPK,1,VARCHAR2(30),nvarchar(30),,
R5SETCONSISTEQUIPMENT,SCE_OBJECT,2,VARCHAR2(30),nvarchar(30),,
R5SETCONSISTEQUIPMENT,SCE_OBJECT_ORG,3,VARCHAR2(15),nvarchar(15),,
R5SETSCONSISTS,SCN_PK,1,VARCHAR2(30),nvarchar(30),,
R5SHFCREWS,SHC_SHIFT,1,VARCHAR2(4),nvarchar(4),,
R5SHFCREWS,SHC_CREW,2,VARCHAR2(15),nvarchar(15),,
R5SHFCREWS,SHC_CREW_ORG,3,VARCHAR2(15),nvarchar(15),,
R5SHFCREWS,SHC_START,4,DATE,datetime,,
R5SHFDAYS,SHD_SHIFT,1,VARCHAR2(4),nvarchar(4),,
R5SHFDAYS,SHD_DAY,2,"NUMBER(3,0)","numeric(3,0)",,
R5SHFDAYS,SHD_TIME,3,NUMBER,"numeric(7,2)",,
R5SHFPERS,SHP_SHIFT,1,VARCHAR2(4),nvarchar(4),,
R5SHFPERS,SHP_PERSON,2,VARCHAR2(15),nvarchar(15),,
R5SHFPERS,SHP_START,3,DATE,datetime,,
R5SHFPERS,SHP_END,4,DATE,datetime,,
R5SHIFTS,SHF_CODE,1,VARCHAR2(4),nvarchar(4),,
R5SHUTDOWNS,SDS_CODE,1,VARCHAR2(30),nvarchar(30),,
R5SOAUOMS,SUO_CODE,1,VARCHAR2(80),nvarchar(80),,
R5SSOCONFIGURATION,SSO_PKID,1,"NUMBER(3,0)","numeric(3,0)",,
R5STANDARDCREWRATES,SCR_STANDARDCREW,1,VARCHAR2(15),nvarchar(15),,
R5STANDARDCREWRATES,SCR_STANDARDCREW_ORG,2,VARCHAR2(15),nvarchar(15),,
R5STANDARDCREWRATES,SCR_ORG,3,VARCHAR2(15),nvarchar(15),,
R5STANDARDCREWRATES,SCR_MRC,4,VARCHAR2(15),nvarchar(15),,
R5STANDARDCREWRATES,SCR_STARTDATE,5,DATE,datetime,,
R5STANDARDCREWS,SCW_CODE,1,VARCHAR2(15),nvarchar(15),,
R5STANDARDCREWS,SCW_ORG,2,VARCHAR2(15),nvarchar(15),,
R5STANDTOOLS,WTD_STANDWORK,1,VARCHAR2(20),nvarchar(20),,
R5STANDTOOLS,WTD_ACT,2,"NUMBER(8,0)","numeric(8,0)",,
R5STANDTOOLS,WTD_TOOL,3,VARCHAR2(12),nvarchar(12),,
R5STANDWACTS,WAC_STANDWORK,1,VARCHAR2(20),nvarchar(20),,
R5STANDWACTS,WAC_ACT,2,"NUMBER(8,0)","numeric(8,0)",,
R5STANDWORKS,STW_CODE,1,VARCHAR2(20),nvarchar(20),,
R5STATEFULCONFIG,SFC_CODE,1,VARCHAR2(30),nvarchar(30),,
R5STOCK,STO_PART,1,VARCHAR2(30),nvarchar(30),,
R5STOCK,STO_PART_ORG,2,VARCHAR2(15),nvarchar(15),,
R5STOCK,STO_STORE,3,VARCHAR2(15),nvarchar(15),,
R5STOCKOUTS,SOU_CODE,1,VARCHAR2(30),nvarchar(30),,
R5STOCKTAKEINTERFACE,SKI_TRANSID,1,NUMBER,bigint,,
R5STOCKTAKELINES,STL_TRANS,1,VARCHAR2(30),nvarchar(30),,
R5STOCKTAKELINES,STL_LINE,2,"NUMBER(8,0)","numeric(8,0)",,
R5STOCKTAKELINES,STL_SUBLINE,3,"NUMBER(8,0)","numeric(8,0)",,
R5STOREDORDERING,SOR_FUNC,1,VARCHAR2(6),nvarchar(6),,
R5STOREDORDERING,SOR_USER,2,VARCHAR2(255),nvarchar(255),,
R5STOREDORDERING,SOR_BLOCK,3,VARCHAR2(30),nvarchar(30),,
R5STOREDORDERING,SOR_CODE,4,VARCHAR2(12),nvarchar(12),,
R5STOREDQUERIES,SQU_FUNC,1,VARCHAR2(6),nvarchar(6),,
R5STOREDQUERIES,SQU_USER,2,VARCHAR2(255),nvarchar(255),,
R5STOREDQUERIES,SQU_DESC,3,VARCHAR2(80),nvarchar(80),,
R5STORES,STR_CODE,1,VARCHAR2(15),nvarchar(15),,
R5STORESECURITY,SSC_STORE,1,VARCHAR2(15),nvarchar(15),,
R5STORESECURITY,SSC_GROUP,2,VARCHAR2(12),nvarchar(12),,
R5STORETAXES,STT_PK,1,VARCHAR2(30),nvarchar(30),,
R5STRATEGIES,STG_CODE,1,VARCHAR2(30),nvarchar(30),,
R5STRATEGIES,STG_ORG,2,VARCHAR2(15),nvarchar(15),,
R5STRUCTURES,STC_CHILD,1,VARCHAR2(30),nvarchar(30),,
R5STRUCTURES,STC_CHILD_ORG,2,VARCHAR2(15),nvarchar(15),,
R5STRUCTURES,STC_PARENT,3,VARCHAR2(30),nvarchar(30),,
R5STRUCTURES,STC_PARENT_ORG,4,VARCHAR2(15),nvarchar(15),,
R5SUMUSAGE,USG_MONTH,1,DATE,datetime,,
R5SUMUSAGE,USG_STORE,2,VARCHAR2(15),nvarchar(15),,
R5SUMUSAGE,USG_PART,3,VARCHAR2(30),nvarchar(30),,
R5SUMUSAGE,USG_PART_ORG,4,VARCHAR2(15),nvarchar(15),,
R5SUPPEVALCODES,EVD_CODE,1,VARCHAR2(8),nvarchar(8),,
R5SUPPEVALINES,EVL_EVALUATION,1,VARCHAR2(30),nvarchar(30),,
R5SUPPEVALINES,EVL_CLINE,2,"NUMBER(8,0)","numeric(8,0)",,
R5SUPPEVALUATION,EVA_NO,1,VARCHAR2(30),nvarchar(30),,
R5SUPPLIERACCOUNTNUMBERS,SAN_SUPPLIER,1,VARCHAR2(30),nvarchar(30),,
R5SUPPLIERACCOUNTNUMBERS,SAN_SUPPLIER_ORG,2,VARCHAR2(15),nvarchar(15),,
R5SUPPLIERACCOUNTNUMBERS,SAN_STORE,3,VARCHAR2(15),nvarchar(15),,
R5SUPPLIERSERVICECODEEXCL,SSE_OSPPK,1,VARCHAR2(30),nvarchar(30),,
R5SUPPLIERSERVICECODEEXCL,SSE_OSCPK,2,VARCHAR2(30),nvarchar(30),,
R5SUPPLIERSERVICECODES,SPS_COMPANY,1,VARCHAR2(30),nvarchar(30),,
R5SUPPLIERSERVICECODES,SPS_COMPANY_ORG,2,VARCHAR2(15),nvarchar(15),,
R5SUPPLIERSERVICECODES,SPS_SERVICECODE,3,VARCHAR2(30),nvarchar(30),,
R5SUPPLIERSERVICECODES,SPS_SERVICECODE_ORG,4,VARCHAR2(15),nvarchar(15),,
R5SYMPTOMCLASSES,SYC_CLASS,1,VARCHAR2(8),nvarchar(8),,
R5SYMPTOMCLASSES,SYC_CLASS_ORG,2,VARCHAR2(15),nvarchar(15),,
R5SYMPTOMCLASSES,SYC_SYMPTOM,3,VARCHAR2(8),nvarchar(8),,
R5SYMPTOMS,SYM_CODE,1,VARCHAR2(8),nvarchar(8),,
R5SYNCWSPSETUP,SWS_TABLE,1,VARCHAR2(30),nvarchar(30),,
R5SYNCWSPSETUP,SWS_ACTION,2,VARCHAR2(6),nvarchar(6),,
R5SYNCWSPSETUP,SWS_PROMPT,3,VARCHAR2(80),nvarchar(80),,
R5SYNCWSPTEMP,SWT_PK,1,VARCHAR2(30),nvarchar(30),,
R5SYSTEMNOTIFICATIONS,SNT_LANG,1,VARCHAR2(2),nvarchar(2),,
R5TABNOPERM,TPN_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5TABNOPERM,TPN_TAB,2,VARCHAR2(6),nvarchar(6),,
R5TABPERMISSIONS,TRP_FUNCTION,1,VARCHAR2(6),nvarchar(6),,
R5TABPERMISSIONS,TRP_GROUP,2,VARCHAR2(12),nvarchar(12),,
R5TABPERMISSIONS,TRP_TAB,3,VARCHAR2(6),nvarchar(6),,
R5TANKPUMPS,TPU_DEPOT,1,VARCHAR2(30),nvarchar(30),,
R5TANKPUMPS,TPU_DEPOT_ORG,2,VARCHAR2(15),nvarchar(15),,
R5TANKPUMPS,TPU_TANK,3,VARCHAR2(30),nvarchar(30),,
R5TANKPUMPS,TPU_PUMP,4,VARCHAR2(30),nvarchar(30),,
R5TANKS,TAN_DEPOT,1,VARCHAR2(30),nvarchar(30),,
R5TANKS,TAN_DEPOT_ORG,2,VARCHAR2(15),nvarchar(15),,
R5TANKS,TAN_CODE,3,VARCHAR2(30),nvarchar(30),,
R5TASKCHECKLISTS,TCH_CODE,1,VARCHAR2(30),nvarchar(30),,
R5TASKCLCONDITIONITEMS,KCI_PK,1,VARCHAR2(30),nvarchar(30),,
R5TASKCLCONDITIONITEMS,KCI_ITEMTCHNO,2,VARCHAR2(30),nvarchar(30),,
R5TASKCLCONDITIONS,KCC_PK,1,VARCHAR2(30),nvarchar(30),,
R5TASKPLANJOBS,TPJ_PK,1,VARCHAR2(30),nvarchar(30),,
R5TASKPRICES,TPR_TASK,1,VARCHAR2(20),nvarchar(20),,
R5TASKPRICES,TPR_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5TASKPRICES,TPR_ORG,3,VARCHAR2(15),nvarchar(15),,
R5TASKQUALIFICATIONS,TQU_TASK,1,VARCHAR2(20),nvarchar(20),,
R5TASKQUALIFICATIONS,TQU_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5TASKQUALIFICATIONS,TQU_QUALIFICATION,3,VARCHAR2(20),nvarchar(20),,
R5TASKS,TSK_CODE,1,VARCHAR2(20),nvarchar(20),,
R5TASKS,TSK_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5TASKTOOLS,TTO_TASK,1,VARCHAR2(20),nvarchar(20),,
R5TASKTOOLS,TTO_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5TASKTOOLS,TTO_TOOL,3,VARCHAR2(12),nvarchar(12),,
R5TASKTRADES,TAT_TASK,1,VARCHAR2(20),nvarchar(20),,
R5TASKTRADES,TAT_REVISION,2,"NUMBER(4,0)","numeric(4,0)",,
R5TASKTRADES,TAT_TRADE,3,VARCHAR2(15),nvarchar(15),,
R5TAXCODERATES,TCR_TAX,1,VARCHAR2(20),nvarchar(20),,
R5TAXCODERATES,TCR_RATE,2,VARCHAR2(30),nvarchar(30),,
R5TAXES,TAX_CODE,1,VARCHAR2(20),nvarchar(20),,
R5TAXRATES,TXR_CODE,1,VARCHAR2(30),nvarchar(30),,
R5TAXRATETYPES,TXT_CODE,1,VARCHAR2(2),nvarchar(2),,
R5TAXRATEVALUES,TXV_RATE,1,VARCHAR2(30),nvarchar(30),,
R5TAXRATEVALUES,TXV_START,2,DATE,datetime,,
R5TEMPCOSTCODES,TCC_COSTCODE,1,VARCHAR2(30),nvarchar(30),,
R5TEMPDOCKLINES,TDL_DCKCODE,1,VARCHAR2(30),nvarchar(30),,
R5TEMPDOCKLINES,TDL_LINE,2,"NUMBER(8,0)","numeric(8,0)",,
R5TEMPENXTICKET,TET_TICKET,1,VARCHAR2(64),nvarchar(64),,
R5TEMPENXTICKET_ARCHIVE,ATK_TICKET,1,VARCHAR2(64),nvarchar(64),,
R5TEMPLABORREQUISITIONS,TLR_SESSIONID,1,VARCHAR2(30),nvarchar(30),,
R5TEMPLABORREQUISITIONS,TLR_EVENT,2,VARCHAR2(30),nvarchar(30),,
R5TEMPLABORREQUISITIONS,TLR_ACT,3,"NUMBER(8,0)","numeric(8,0)",,
R5TEMPLATECHARGEDEFS,TCD_PK,1,VARCHAR2(30),nvarchar(30),,
R5TEMPLATECLAUSES,TCS_CONTRACTTEMPLATE,1,VARCHAR2(30),nvarchar(30),,
R5TEMPLATECLAUSES,TCS_CONTRACTTEMPLATE_ORG,2,VARCHAR2(15),nvarchar(15),,
R5TEMPLATECLAUSES,TCS_CLAUSE,3,VARCHAR2(8),nvarchar(8),,
R5TEMPLATEDISCOUNTS,TDC_CODE,1,VARCHAR2(30),nvarchar(30),,
R5TEMPLATESALESPRICE,TSC_PK,1,VARCHAR2(30),nvarchar(30),,
R5TEMPLATEWOCRITERIA,TWC_CONTRACTTEMPLATE,1,VARCHAR2(30),nvarchar(30),,
R5TEMPLATEWOCRITERIA,TWC_CONTRACTTEMPLATE_ORG,2,VARCHAR2(15),nvarchar(15),,
R5TEMPLATEWOCRITERIA,TWC_MRC,3,VARCHAR2(15),nvarchar(15),,
R5TEMPLATEWOCRITERIA,TWC_JOBTYPE,4,VARCHAR2(8),nvarchar(8),,
R5TEMPLATEWOCRITERIA,TWC_CLASS,5,VARCHAR2(8),nvarchar(8),,
R5TEMPLATEWOCRITERIA,TWC_CLASS_ORG,6,VARCHAR2(15),nvarchar(15),,
R5TEMPREPTICKET,TRT_TICKET,1,VARCHAR2(64),nvarchar(64),,
R5TEMPREQSFORORDER,TRO_SESSIONID,1,NUMBER,int,,
R5TEMPREQSFORORDER,TRO_SEQUENCE,2,"NUMBER(8,0)","numeric(8,0)",,
R5TEMPRUNSQL,TRS_CODE,1,"NUMBER(38,0)","numeric(38,0)",,
R5TEMPSSABCA,TSS_SESSIONID,1,NUMBER,"numeric(38,0)",,
R5TEMPSSABCA,TSS_STORE,2,VARCHAR2(15),nvarchar(15),,
R5TEMPSSABCA,TSS_PART,3,VARCHAR2(30),nvarchar(30),,
R5TEMPSSABCA,TSS_PART_ORG,4,VARCHAR2(15),nvarchar(15),,
R5TEMPSTRESS,TMS_MATERIAL,1,VARCHAR2(20),nvarchar(20),,
