tkd_trans,tkd_promptdata1,legacy_part_number,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,37908,E04-90-0590-500,PART,PART,*,*,3618#BCRTC,+,+
LDOC,37909,E04-90-0590-510,PART,PART,*,*,3619#BCRTC,+,+
LDOC,37910,E04-90-0590-675,PART,PART,*,*,3623#BCRTC,+,+
LDOC,37911,E04-90-0590-690,PART,PART,*,*,3624#BCRTC,+,+
LDOC,37912,E04-90-0590-702,PART,PART,*,*,3626#BCRTC,+,+
LDOC,37913,E04-90-0590-706,PART,PART,*,*,3628#BCRTC,+,+
LDOC,37914,E04-90-0590-708,PART,PART,*,*,3629#BCRTC,+,+
LDOC,37915,E04-90-0590-710,PART,PART,*,*,3630#BCRTC,+,+
LDOC,37916,E04-90-0590-712,PART,PART,*,*,3631#BCRTC,+,+
LDOC,37917,E04-90-0590-713,PART,PART,*,*,6499#BCRTC,+,+
LDOC,37918,E04-90-0590-725,PART,PART,*,*,3634#BCRTC,+,+
LDOC,37919,E04-90-0590-727,PART,PART,*,*,3635#BCRTC,+,+
LDOC,37920,E04-90-0590-728,PART,PART,*,*,3636#BCRTC,+,+
LDOC,37921,E04-90-0590-740,PART,PART,*,*,3637#BCRTC,+,+
LDOC,37922,E04-90-0590-755,PART,PART,*,*,3638#BCRTC,+,+
LDOC,37923,E04-90-0590-800,PART,PART,*,*,3639#BCRTC,+,+
LDOC,37924,E04-90-0590-802,PART,PART,*,*,3640#BCRTC,+,+
LDOC,37925,E04-90-0590-804,PART,PART,*,*,3641#BCRTC,+,+
LDOC,37926,E04-90-0590-805,PART,PART,*,*,6776#BCRTC,+,+
LDOC,37927,E04-90-0590-880,PART,PART,*,*,3642#BCRTC,+,+
LDOC,37928,E04-90-0590-882,PART,PART,*,*,3643#BCRTC,+,+
LDOC,37929,E04-90-0590-900,PART,PART,*,*,3644#BCRTC,+,+
LDOC,37930,E04-90-2836-411,PART,PART,*,*,3645#BCRTC,+,+
LDOC,37931,E04-90-2838-450,PART,PART,*,*,3646#BCRTC,+,+
LDOC,37932,E04-90-2850-850,PART,PART,*,*,3647#BCRTC,+,+
