tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,33546,PART,PART,*,*,12013#BCRTC,+,+
LDOC,33547,PART,PART,*,*,12015#BCRTC,+,+
LDOC,33548,PART,PART,*,*,12016#BCRTC,+,+
LDOC,33549,PART,PART,*,*,12018#BCRTC,+,+
LDOC,33550,PART,PART,*,*,12460#BCRTC,+,+
LDOC,33551,PART,PART,*,*,12881#BCRTC,+,+
LDOC,33552,PART,PART,*,*,12882#BCRTC,+,+
LDOC,33553,PART,PART,*,*,12883#BCRTC,+,+
LDOC,33554,PART,PART,*,*,12884#BCRTC,+,+
LDOC,33555,PART,PART,*,*,12885#BCRTC,+,+
LDOC,33556,PART,PART,*,*,12886#BCRTC,+,+
LDOC,33557,PART,PART,*,*,12887#BCRTC,+,+
LDOC,33558,PART,PART,*,*,12888#BCRTC,+,+
LDOC,33559,PART,PART,*,*,12889#BCRTC,+,+
LDOC,33560,PART,PART,*,*,12890#BCRTC,+,+
LDOC,33561,PART,PART,*,*,12892#BCRTC,+,+
LDOC,33562,PART,PART,*,*,12894#BCRTC,+,+
LDOC,33563,PART,PART,*,*,12914#BCRTC,+,+
LDOC,33564,PART,PART,*,*,12946#BCRTC,+,+
LDOC,33565,PART,PART,*,*,12945#BCRTC,+,+
LDOC,33566,PART,PART,*,*,12944#BCRTC,+,+
LDOC,33567,PART,PART,*,*,12941#BCRTC,+,+
LDOC,33568,PART,PART,*,*,12939#BCRTC,+,+
LDOC,33569,PART,PART,*,*,12938#BCRTC,+,+
LDOC,33570,PART,PART,*,*,12937#BCRTC,+,+
LDOC,33571,PART,PART,*,*,12972#BCRTC,+,+
LDOC,33572,PART,PART,*,*,12976#BCRTC,+,+
LDOC,33573,PART,PART,*,*,12975#BCRTC,+,+
LDOC,33574,PART,PART,*,*,12974#BCRTC,+,+
LDOC,33575,PART,PART,*,*,12973#BCRTC,+,+
LDOC,33576,PART,PART,*,*,12971#BCRTC,+,+
LDOC,33577,PART,PART,*,*,14092#BCRTC,+,+
LDOC,33578,PART,PART,*,*,14094#BCRTC,+,+
LDOC,33579,PART,PART,*,*,14095#BCRTC,+,+
LDOC,33580,PART,PART,*,*,14096#BCRTC,+,+
LDOC,33581,PART,PART,*,*,14267#BCRTC,+,+
LDOC,33582,PART,PART,*,*,14266#BCRTC,+,+
LDOC,33583,PART,PART,*,*,14265#BCRTC,+,+
LDOC,33584,PART,PART,*,*,14264#BCRTC,+,+
LDOC,33585,PART,PART,*,*,14263#BCRTC,+,+
LDOC,33586,PART,PART,*,*,14262#BCRTC,+,+
LDOC,33587,PART,PART,*,*,14260#BCRTC,+,+
LDOC,33588,PART,PART,*,*,14261#BCRTC,+,+
LDOC,33589,PART,PART,*,*,14259#BCRTC,+,+
LDOC,33590,PART,PART,*,*,6933#BCRTC,+,+
LDOC,33591,PART,PART,*,*,7119#BCRTC,+,+
LDOC,33592,PART,PART,*,*,9161#BCRTC,+,+
LDOC,33593,PART,PART,*,*,9160#BCRTC,+,+
LDOC,33594,PART,PART,*,*,9159#BCRTC,+,+
LDOC,33595,PART,PART,*,*,9158#BCRTC,+,+
LDOC,33596,PART,PART,*,*,9306#BCRTC,+,+
LDOC,33597,PART,PART,*,*,9308#BCRTC,+,+
LDOC,33598,PART,PART,*,*,9309#BCRTC,+,+
LDOC,33599,PART,PART,*,*,9310#BCRTC,+,+
LDOC,33600,PART,PART,*,*,9311#BCRTC,+,+
LDOC,33601,PART,PART,*,*,3650#BCRTC,+,+
LDOC,33602,PART,PART,*,*,9945#BCRTC,+,+
LDOC,33603,PART,PART,*,*,10087#BCRTC,+,+
LDOC,33604,PART,PART,*,*,10113#BCRTC,+,+
LDOC,33605,PART,PART,*,*,10544#BCRTC,+,+
LDOC,33606,PART,PART,*,*,10579#BCRTC,+,+
LDOC,33607,PART,PART,*,*,10601#BCRTC,+,+
LDOC,33608,PART,PART,*,*,12147#BCRTC,+,+
LDOC,33609,PART,PART,*,*,12148#BCRTC,+,+
LDOC,33610,PART,PART,*,*,12149#BCRTC,+,+
LDOC,33611,PART,PART,*,*,3651#BCRTC,+,+
LDOC,33612,PART,PART,*,*,12150#BCRTC,+,+
LDOC,33613,PART,PART,*,*,3652#BCRTC,+,+
LDOC,33614,PART,PART,*,*,12151#BCRTC,+,+
LDOC,33615,PART,PART,*,*,12298#BCRTC,+,+
LDOC,33616,PART,PART,*,*,12346#BCRTC,+,+
LDOC,33617,PART,PART,*,*,12363#BCRTC,+,+
LDOC,33618,PART,PART,*,*,12362#BCRTC,+,+
