msds,partNumber,Original_FileName,legacy_part_number,Document,desc,tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
0071,24539,msds0071_202305031624.pdf,C00-03-0303-200,34025," OIL, QUINTOLUBRIC 20 LTR",LDOC,,PART,PART,*,*,24539#BCRTC,+,+
0072,24219,msds0072_202305031624.pdf,M43-17-0000-096,34045," ADHESIVE, LOCTITE 404",LDOC,,PART,PART,*,*,24219#BCRTC,+,+
0073,5325,msds0073_202305031614.pdf,M43-17-0000-026,33988," COMPOUND, RETAINING",LDOC,,PART,PART,*,*,5325#BCRTC,+,+
0074,5621,msds0074_202305031624.pdf,M18-62-0000-010,34015," PRIMER, SPRAY RED OXIDE",LDOC,,PART,PART,*,*,5621#BCRTC,+,+
0074,10410,msds0074_202305031624.pdf,M18-62-0000-026,34015," PRIMER, SPRAY WHITE",LDOC,,PART,PART,*,*,10410#BCRTC,+,+
0075,16853,msds0075_202305031559.pdf,C00-12-0312-135,33919,GREASE,LDOC,,PART,PART,*,*,16853#BCRTC,+,+
0077,4887,msds0077_202305031610.pdf,M18-62-0000-020,33957," PAINT, GRAY GLYPTL AERO",LDOC,,PART,PART,*,*,4887#BCRTC,+,+
0078,24121,msds0078_202305031559.pdf,M40-57-0000-072,33936," LUBRICANT, THUNDERBOLT",LDOC,,PART,PART,*,*,24121#BCRTC,+,+
0080,5921,msds0080_202305031614.pdf,M43-17-0000-046,34009,"SEALANT, SILICONE BLACK",LDOC,,PART,PART,*,*,5921#BCRTC,+,+
0081,5922,msds0081_202305031614.pdf,M43-17-0000-047,33999,"SEALANT, SILICONE CLEAR",LDOC,,PART,PART,*,*,5922#BCRTC,+,+
0083,16997,msds0083_202305031559.pdf,E04-97-0597-017,33947," OIL, ESCALATOR #2- 20 lt",LDOC,,PART,PART,*,*,16997#BCRTC,+,+
0084,19174,msds0084_202305022233.pdf,M43-17-0000-080,33773," SEALANT, WHITE TEFLON 12",LDOC,,PART,PART,*,*,19174#BCRTC,+,+
0085,22374,msds0085_202305022237.pdf,M40-85-0000-077,33800," DEGREASER, ORGANIC SOURC",LDOC,,PART,PART,*,*,22374#BCRTC,+,+
0086,19175,msds0086_202305031624.pdf,M43-17-0000-081,34027,"COMPOUND, HEAT SINK",LDOC,,PART,PART,*,*,19175#BCRTC,+,+
0087,5920,msds0087_202305022016.pdf,M43-17-0000-045,33029,"SEALANT, SILICONE WHITE",LDOC,,PART,PART,*,*,5920#BCRTC,+,+
0088,5883,msds0088_202305031614.pdf,M40-57-0000-019,33986," LUBRICANT, DRY SPRAY",LDOC,,PART,PART,*,*,5883#BCRTC,+,+
0089,5025,msds0089_202305031614.pdf,M28-44-0000-007,34003," PUTTY, INSULATING",LDOC,,PART,PART,*,*,5025#BCRTC,+,+
0090,5918,msds0090_202305031559.pdf,M43-17-0000-043,33941," CAULKING, WHITE BUTYL",LDOC,,PART,PART,*,*,5918#BCRTC,+,+
0091,6457,msds0091_202305022237.pdf,M43-17-0000-042,33798," SEALANT, FORM-A-GASKET",LDOC,,PART,PART,*,*,6457#BCRTC,+,+
0092,21397,msds0092_202305022233.pdf,A11-29-0111-017,33780," SEALANT, BAULTAFLEX 2010",LDOC,,PART,PART,*,*,21397#BCRTC,+,+
0093,9668,msds0093_202305031624.pdf,M40-57-0000-015,34032," LUBRICANT, LPS-1 12oz",LDOC,,PART,PART,*,*,9668#BCRTC,+,+
0096,5250,msds0096_202305031624.pdf,M18-64-0000-004,34013," COATING, ACRYLIC",LDOC,,PART,PART,*,*,5250#BCRTC,+,+
