msds,partNumber,Original_FileName,desc,legacy_part_number,Document,,tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
0066,5618,msds0066_202306162025.pdf," PAINT, SPRAY RED",M18-62-0000-007,33857,LDOC,,PART,PART,*,*,5618#BCRTC,+,+
0066,5619,msds0066_202306162025.pdf," PAINT, SPRAY WHITE GLOSS",M18-62-0000-008,33857,LDOC,,PART,PART,*,*,5619#BCRTC,+,+
0066,5620,msds0066_202306162025.pdf," PAINT, SPRAY YELLOW",M18-62-0000-009,33857,LDOC,,PART,PART,*,*,5620#BCRTC,+,+
0067,23316,msds0067_202306162025.pdf," CLEANER, HVAC EVAPORATOR",M40-85-0000-078,33858,LDOC,,PART,PART,*,*,23316#BCRTC,+,+
0068,23314,msds0068_202306162025.pdf," SEALANT, LOCTITE 548 GAS",M43-17-0000-095,33859,LDOC,,PART,PART,*,*,23314#BCRTC,+,+
0070,24239,msds0070_202306162025.pdf," ARMOURCAST, STRUCTURAL M",M43-17-0000-097,33861,LDOC,,PART,PART,*,*,24239#BCRTC,+,+
0071,10332,msds0071_202306162025.pdf," OIL, QUINTOLUBRIC",C00-03-0303-043,33862,LDOC,,PART,PART,*,*,10332#BCRTC,+,+
0071,24539,msds0071_202306162025.pdf," OIL, QUINTOLUBRIC 20 LTR",C00-03-0303-200,33862,LDOC,,PART,PART,*,*,24539#BCRTC,+,+
0072,24219,msds0072_202306162025.pdf," ADHESIVE, LOCTITE 404",M43-17-0000-096,33863,LDOC,,PART,PART,*,*,24219#BCRTC,+,+
0073,5325,msds0073_202306162025.pdf," COMPOUND, RETAINING",M43-17-0000-026,33865,LDOC,,PART,PART,*,*,5325#BCRTC,+,+
0074,5621,msds0074_202306162025.pdf," PRIMER, SPRAY RED OXIDE",M18-62-0000-010,33866,LDOC,,PART,PART,*,*,5621#BCRTC,+,+
0074,10410,msds0074_202306162025.pdf," PRIMER, SPRAY WHITE",M18-62-0000-026,33866,LDOC,,PART,PART,*,*,10410#BCRTC,+,+
0075,16853,msds0075_202306162025.pdf,GREASE,C00-12-0312-135,33867,LDOC,,PART,PART,*,*,16853#BCRTC,+,+
0077,4887,msds0077_202306162025.pdf," PAINT, GRAY GLYPTL AERO",M18-62-0000-020,33868,LDOC,,PART,PART,*,*,4887#BCRTC,+,+
