tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,33041,PART,PART,*,*,5875#BCRTC,+,+
LDOC,33042,PART,PART,*,*,5917#BCRTC,+,+
LDOC,33043,PART,PART,*,*,4885#BCRTC,+,+
LDOC,33044,PART,PART,*,*,5254#BCRTC,+,+
LDOC,33045,PART,PART,*,*,5266#BCRTC,+,+
LDOC,33048,PART,PART,*,*,5257#BCRTC,+,+
LDOC,33049,PART,PART,*,*,3701#BCRTC,+,+
LDOC,33050,PART,PART,*,*,5163#BCRTC,+,+
LDOC,33052,PART,PART,*,*,20184#BCRTC,+,+
LDOC,33053,PART,PART,*,*,5620#BCRTC,+,+
LDOC,33054,PART,PART,*,*,31968#BCRTC,+,+
LDOC,33057,PART,PART,*,*,20997#BCRTC,+,+
LDOC,33058,PART,PART,*,*,35171#BCRTC,+,+
LDOC,33059,PART,PART,*,*,5361#BCRTC,+,+
LDOC,33060,PART,PART,*,*,32011#BCRTC,+,+
LDOC,33061,PART,PART,*,*,21802#BCRTC,+,+
LDOC,33062,PART,PART,*,*,31672#BCRTC,+,+
LDOC,33063,PART,PART,*,*,31668#BCRTC,+,+
LDOC,33064,PART,PART,*,*,9667#BCRTC,+,+
LDOC,33072,PART,PART,*,*,27900#BCRTC,+,+
LDOC,33073,PART,PART,*,*,27714#BCRTC,+,+
LDOC,33074,PART,PART,*,*,28023#BCRTC,+,+
LDOC,33075,PART,PART,*,*,29769#BCRTC,+,+
LDOC,33076,PART,PART,*,*,23538#BCRTC,+,+
LDOC,33077,PART,PART,*,*,26413#BCRTC,+,+
LDOC,33078,PART,PART,*,*,30663#BCRTC,+,+
LDOC,33079,PART,PART,*,*,30662#BCRTC,+,+
LDOC,33080,PART,PART,*,*,30657#BCRTC,+,+
LDOC,33081,PART,PART,*,*,27889#BCRTC,+,+
LDOC,33086,PART,PART,*,*,31068#BCRTC,+,+
LDOC,33087,PART,PART,*,*,31069#BCRTC,+,+
LDOC,33092,PART,PART,*,*,28160#BCRTC,+,+
LDOC,33093,PART,PART,*,*,20184#BCRTC,+,+
LDOC,33094,PART,PART,*,*,20184#BCRTC,+,+
LDOC,33095,PART,PART,*,*,29768#BCRTC,+,+
LDOC,33096,PART,PART,*,*,31353#BCRTC,+,+
LDOC,33097,PART,PART,*,*,31461#BCRTC,+,+
LDOC,33100,PART,PART,*,*,31626#BCRTC,+,+
LDOC,33101,PART,PART,*,*,10153#BCRTC,+,+
LDOC,33101,PART,PART,*,*,5179#BCRTC,+,+
LDOC,33101,PART,PART,*,*,5182#BCRTC,+,+
LDOC,33101,PART,PART,*,*,5183#BCRTC,+,+
LDOC,33102,PART,PART,*,*,5879#BCRTC,+,+
LDOC,33103,PART,PART,*,*,10374#BCRTC,+,+
LDOC,33104,PART,PART,*,*,26116#BCRTC,+,+
LDOC,33105,PART,PART,*,*,27980#BCRTC,+,+
LDOC,33108,PART,PART,*,*,5975#BCRTC,+,+
LDOC,33110,PART,PART,*,*,5361#BCRTC,+,+
LDOC,33112,PART,PART,*,*,5356#BCRTC,+,+
LDOC,33113,PART,PART,*,*,10333#BCRTC,+,+
LDOC,33114,PART,PART,*,*,5154#BCRTC,+,+
LDOC,33116,PART,PART,*,*,21516#BCRTC,+,+
LDOC,33118,PART,PART,*,*,24184#BCRTC,+,+
LDOC,33119,PART,PART,*,*,21157#BCRTC,+,+
LDOC,33121,PART,PART,*,*,5268#BCRTC,+,+
LDOC,33122,PART,PART,*,*,5967#BCRTC,+,+
LDOC,33126,PART,PART,*,*,6627#BCRTC,+,+
LDOC,33127,PART,PART,*,*,5968#BCRTC,+,+
LDOC,33128,PART,PART,*,*,9411#BCRTC,+,+
LDOC,33131,PART,PART,*,*,5971#BCRTC,+,+
LDOC,33134,PART,PART,*,*,5881#BCRTC,+,+
LDOC,33135,PART,PART,*,*,10541#BCRTC,+,+
LDOC,33136,PART,PART,*,*,14582#BCRTC,+,+
LDOC,33139,PART,PART,*,*,5902#BCRTC,+,+
LDOC,33140,PART,PART,*,*,10227#BCRTC,+,+
LDOC,33143,PART,PART,*,*,20783#BCRTC,+,+
LDOC,33145,PART,PART,*,*,5267#BCRTC,+,+
LDOC,33146,PART,PART,*,*,6215#BCRTC,+,+
LDOC,33147,PART,PART,*,*,5609#BCRTC,+,+
LDOC,33148,PART,PART,*,*,13110#BCRTC,+,+
LDOC,33148,PART,PART,*,*,5608#BCRTC,+,+
